"","iso3","village","count"
"629","IDN","Adireja Wetan",1
"630","IDN","Adirejo",1
"631","IDN","Adiwarno",1
"632","IDN","Adiwerna",1
"633","IDN","Adiwipi",1
"634","IDN","Adobala",1
"635","IDN","Adodo Fordata",1
"636","IDN","Adodomolo",1
"637","IDN","Adoki",1
"638","IDN","Adolang",1
"639","IDN","Adolang Dua",1
"640","IDN","Adonara",1
"641","IDN","Adora",1
"642","IDN","Adow",1
"643","IDN","Adow Selatan",1
"644","IDN","Adu",2
"645","IDN","Aduwei",1
"646","IDN","Ae Ndoko",1
"647","IDN","Aebara",1
"648","IDN","Aedan Raya",1
"649","IDN","Aejeti",1
"650","IDN","Aek Bontar",1
"651","IDN","Aek Dakka",1
"652","IDN","Aek Garut",1
"653","IDN","Aek Habil",1
"654","IDN","Aek Horsik",1
"655","IDN","Aek Manis",1
"656","IDN","Aek Muara Pinang",1
"657","IDN","Aek Nauli",1
"658","IDN","Aek Parombunan",1
"659","IDN","Aek Raso",1
"660","IDN","Aek Sitio-Tio",1
"661","IDN","Aek Tolang",1
"662","IDN","Aek Tolang Induk",1
"663","IDN","Aelipo",1
"664","IDN","Aemuri",1
"665","IDN","Aeng Batu-Batu",1
"666","IDN","Aeng Sareh",1
"667","IDN","Aeng Towa",1
"668","IDN","Aenganyar",1
"669","IDN","Aengbaja Kenek",1
"670","IDN","Aengbaja Raja",1
"671","IDN","Aengdake",1
"672","IDN","Aengmerah",1
"673","IDN","Aengpanas",1
"674","IDN","Aengtabar",1
"675","IDN","Aengtongtong",1
"676","IDN","Aer Banua",1
"677","IDN","Aeramo",1
"678","IDN","Aergale",1
"679","IDN","Aertembaga Dua",1
"680","IDN","Aertembaga Satu",1
"681","IDN","Aewoe",1
"682","IDN","Aewora",1
"683","IDN","Afa Afa",1
"684","IDN","Afang Defol",1
"685","IDN","Afang Kota",1
"686","IDN","Afe-Taduma",1
"687","IDN","Afia",2
"688","IDN","Afoan",1
"689","IDN","Afore",1
"690","IDN","Afuafu",1
"691","IDN","Afulu",1
"692","IDN","Agel",1
"693","IDN","Agerwara",1
"694","IDN","Aglik",1
"695","IDN","Agoda",1
"696","IDN","Agom",1
"697","IDN","Agotey",1
"698","IDN","Agung Jaya",1
"699","IDN","Agungmulyo",1
"700","IDN","Aha",1
"701","IDN","Aha Patung",1
"702","IDN","Ahanari",1
"703","IDN","Ahedano",1
"704","IDN","Ahiolo Abio",1
"705","IDN","Ahu",1
"706","IDN","Ai Kangkung",1
"707","IDN","Aia Bangih",1
"708","IDN","Aiboa/Epawa",1
"709","IDN","Aibondeni",1
"710","IDN","Aibura",1
"711","IDN","Aie Haji",1
"712","IDN","Aie Tajun Lubuk Alung",1
"713","IDN","Aik Ketekok",1
"714","IDN","Aik Pelempang Jaya",1
"715","IDN","Aik Rayak",1
"716","IDN","Aikawapuka",1
